,NMDGF,sample_year,NK,taxon_name,intermediate,sex,uncertain_sex,bursa,length_mm_1,length_mm_2,length_mm_3,anterior_width,poserior_width,width_2nd_curve,width_straight_mdpt,mass_trachea+syrinx,segment_count1,segment_count2,taxon.name,tail,wing.chord,anterior.culmen,posterior.culmen,tarsus,data.origin,mass,width_1st_curve,mean_trachea_length,segment_count_mean,County,Date,Age,trachea.diameter,segment_width,prop_trachea,log_mass,mass13,log_mtl,sus,BMI.tars,BMI.trach,BMI.wing,glottis_opening_length,larynx_width,brochus_width,syrnix_length_middle
47,NA,2009,170422,Antigone canadensis canadensis,NA,F,0,N,570,NA,NA,NA,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,3106,NA,570,NA,NA,NA,NA,NA,NA,0.183515776,3.492201451,14.59039839,2.755874856,chill,NA,1.00378578,NA,,,,
48,NA,2009,170423,Antigone canadensis canadensis,NA,F,0,N,500,NA,NA,NA,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,2981,NA,500,NA,NA,NA,NA,NA,NA,0.16772895,3.474361976,14.39198371,2.698970004,chill,NA,1.25202,NA,,,,
49,NA,2009,170424,Antigone canadensis canadensis,NA,M,0,Y,635,NA,NA,NA,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,3393,NA,635,NA,NA,NA,NA,NA,NA,0.187150015,3.53058386,15.0266194,2.802773725,chill,NA,0.883538967,NA,,,,
50,NA,2009,170425,Antigone canadensis canadensis,NA,M,0,Y,609,NA,NA,NA,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,3305,NA,609,NA,NA,NA,NA,NA,NA,0.184266263,3.519171464,14.89557096,2.784617293,chill,NA,0.935677481,NA,,,,
51,NA,2009,170426,Antigone canadensis tabida,NA,F,0,N,730,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,5222,NA,730,NA,NA,NA,NA,NA,NA,0.139793183,3.717836867,17.34918012,2.86332286,chill,NA,1.028917245,NA,,,,
52,NA,2009,170427,Antigone canadensis tabida,NA,M,0,N,739,NA,NA,NA,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,5195,NA,739,NA,NA,NA,NA,NA,NA,0.142252166,3.715585552,17.31922751,2.868644438,chill,NA,0.998817112,NA,,,,
53,NA,2009,170629,Antigone canadensis tabida,NA,M,0,N,779,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,6127,NA,779,NA,NA,NA,NA,NA,NA,0.127142158,3.78724788,18.29851979,2.891537458,chill,NA,1.060137664,NA,,,,
54,NA,2009,170630,Antigone canadensis canadensis,NA,M,0,N,604,NA,NA,NA,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,3403,NA,604,NA,NA,NA,NA,NA,NA,0.17749045,3.531861949,15.04136729,2.781036939,chill,NA,0.97943895,NA,,,,
55,NA,2009,170635,Antigone canadensis tabida,NA,F,0,N,686,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,5417,NA,686,NA,NA,NA,NA,NA,NA,0.126638361,3.733758836,17.56249763,2.836324116,chill,NA,1.208648182,NA,,,,
56,NA,2009,170638,Antigone canadensis tabida,NA,F,0,N,645,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,5285,NA,645,NA,NA,NA,NA,NA,NA,0.122043519,3.723044992,17.41867023,2.809559715,chill,NA,1.333874166,NA,,,,
57,NA,2009,170688,Antigone canadensis tabida,NA,F,0,NA,714,NA,NA,NA,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,5132,NA,714,NA,NA,NA,NA,NA,NA,0.139127046,3.710286648,17.24893223,2.853698212,chill,NA,1.05701104,NA,,,,
58,NA,2009,170689,Antigone canadensis canadensis,NA,F,0,N,579,NA,NA,NA,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,3340,NA,579,NA,NA,NA,NA,NA,NA,0.173353293,3.523746467,14.94796787,2.762678564,chill,NA,1.046113095,NA,,,,
59,NA,2009,170690,Antigone canadensis tabida,NA,M,0,N,653,NA,NA,NA,9.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,4237,NA,653,NA,NA,NA,NA,NA,NA,0.15411848,3.627058464,16.18152647,2.814913181,sus,NA,1.043329292,NA,,,,
60,NA,2009,170691,Antigone canadensis tabida,NA,M,0,N,663,NA,NA,NA,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,4034,NA,663,NA,NA,NA,NA,NA,NA,0.164353,3.605735894,15.91886005,2.821513528,sus,NA,0.963602984,NA,,,,
61,NA,2009,170711,Antigone canadensis canadensis,NA,F,0,N,625,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,2755,NA,625,NA,NA,NA,NA,NA,NA,0.226860254,3.440121603,14.01868254,2.795880017,chill,NA,0.740544,NA,,,,
62,NA,2009,170718,Antigone canadensis tabida,NA,M,0,Y,761,NA,NA,NA,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,5622,NA,761,NA,NA,NA,NA,NA,NA,0.135361081,3.749890841,17.78130428,2.881384657,chill,NA,1.01932066,NA,,,,
63,NA,2009,170755,Antigone canadensis tabida,NA,M,0,Y,698,NA,NA,NA,12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,5126,NA,698,NA,NA,NA,NA,NA,NA,0.136168552,3.709778602,17.2422075,2.843855423,chill,NA,1.104732309,NA,,,,
64,NA,2009,170756,Antigone canadensis tabida,NA,F,0,Y,619,NA,NA,NA,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,4588,NA,619,NA,NA,NA,NA,NA,NA,0.134917175,3.661623409,16.61656063,2.791690649,chill,NA,1.257278272,NA,,,,
65,NA,2009,170757,Antigone canadensis tabida,NA,M,0,N,758,NA,NA,NA,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,5392,NA,758,NA,NA,NA,NA,NA,NA,0.140578635,3.731749884,17.53543839,2.879669206,chill,NA,0.985373257,NA,,,,
66,NA,2009,170758,Antigone canadensis tabida,NA,NA,0,N,731,NA,NA,NA,12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,5905,NA,731,NA,NA,NA,NA,NA,NA,0.123793395,3.771219902,18.07479168,2.863917377,chill,NA,1.160311101,NA,,,,
67,NA,2009,170764,Antigone canadensis canadensis,NA,F,0,N,554,NA,NA,NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,2990,NA,554,NA,NA,NA,NA,NA,NA,0.185284281,3.475671188,14.40645287,2.743509765,chill,NA,1.022918323,NA,,,,
68,NA,2009,170766,Antigone canadensis canadensis,NA,M,0,N,674,NA,NA,NA,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,3523,NA,674,NA,NA,NA,NA,NA,NA,0.191314221,3.546912643,15.21613015,2.828659897,chill,NA,0.814295714,NA,,,,
69,NA,2009,170772,Antigone canadensis canadensis,NA,F,0,N,662,NA,NA,NA,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,3559,NA,662,NA,NA,NA,NA,NA,NA,0.186007305,3.551327988,15.26778361,2.820857989,chill,NA,0.852709906,NA,,,,
70,NA,2009,170788,Antigone canadensis tabida,NA,F,0,N,682,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,5210,NA,682,NA,NA,NA,NA,NA,NA,0.130902111,3.716837723,17.33588062,2.833784375,chill,NA,1.176137976,NA,,,,
71,NA,2009,170795,Antigone canadensis tabida,NA,F,0,N,682,NA,NA,NA,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,5299,NA,682,NA,NA,NA,NA,NA,NA,0.128703529,3.72419392,17.43403739,2.833784375,chill,NA,1.196229393,NA,,,,
72,NA,2009,170828,Antigone canadensis tabida,NA,M,0,N,778,NA,NA,NA,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,5238,NA,778,NA,NA,NA,NA,NA,NA,0.148529973,3.719165494,17.36688112,2.890979597,chill,NA,0.908647841,NA,,,,
73,NA,2009,170829,Antigone canadensis tabida,NA,F,0,Y,644,NA,NA,NA,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,4890,NA,644,NA,NA,NA,NA,NA,NA,0.131697342,3.689308859,16.97343024,2.808885867,chill,NA,1.238016473,NA,,,,
74,NA,2009,170834,Antigone canadensis tabida,NA,F,0,N,666,NA,NA,NA,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,5064,NA,666,NA,NA,NA,NA,NA,NA,0.131516588,3.704493697,17.17240934,2.823474229,chill,NA,1.198766334,NA,,,,
75,NA,2009,170845,Antigone canadensis tabida,NA,F,0,N,611,NA,NA,NA,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,4560,NA,611,NA,NA,NA,NA,NA,NA,0.133991228,3.658964843,16.58268868,2.78604121,chill,NA,1.28254237,NA,,,,
76,1,2020,281701,Antigone canadensis tabida,NA,M,0,N,721,730,729,18.84,10.82,10.77,10.85,22.5,293,289,Antigone canadensis tabida,190,505,87.21,104.77,253,MSB,5850,11.3,726.6666667,291,NA,NA,NA,NA,2.514417532,0.124216524,3.767155866,18.0184995,2.861335239,chill,9.596306769,1.163254356,2.408587393,,,,
77,2,2020,281702,Antigone canadensis tabida,NA,M,0,NA,695,696,695,18.01,11.26,10.42,11.6,29.4,280,283,Antigone canadensis tabida,220,543,89.42,109.51,259,MSB,6300,NA,695.3333333,281.5,NA,NA,NA,NA,2.457008245,0.11037037,3.799340549,18.4691475,2.842193049,chill,9.861212564,1.368181613,2.24352126,,,,
1,5,2020,281703,Antigone canadensis canadensis,NA,M,1,N,757,761,758,16.01,9.93,10.02,10.17,27.3,285,290,Antigone canadensis canadensis,170,440,NA,NA,185,MSB,3450,9.66,758.6666667,287.5,NA,NA,NA,NA,2.616091954,0.219903382,3.537819095,15.11029808,2.880051003,chill,10.58436815,0.629370508,1.871126033,,,,
78,4,2020,281704,Antigone canadensis tabida,NA,M,0,N,760,758,759,13.57,10.3,9.38,9.36,22,289,290,Antigone canadensis tabida,210,530,90.6,106.85,250,MSB,5900,12,759,289.5,NA,NA,NA,NA,2.617241379,0.128644068,3.770852012,18.06968869,2.880241776,chill,9.912,1.075369609,2.205411178,,,,
79,5,2020,281705,Antigone canadensis tabida,NA,M,0,N,795,791,791,17.03,10.27,9.35,9.52,32,NA,273,Antigone canadensis tabida,200,515,80.05,94.2,240,MSB,5300,9.69,792.3333333,NA,NA,NA,NA,NA,2.902319902,0.149496855,3.72427587,17.43513401,2.898907927,chill,9.661458333,0.886439938,2.098218494,,,,
80,7,2020,281706,Antigone canadensis tabida,NA,M,0,N,667,670,667,15,9.17,10.16,9.79,18.4,290,303,Antigone canadensis tabida,205,530,84.81,97.49,240,MSB,5400,10.12,668,296.5,NA,NA,NA,NA,2.204620462,0.123703704,3.73239376,17.54410643,2.824776462,chill,9.84375,1.270662268,2.018511926,,,,
81,6,2020,281707,Antigone canadensis tabida,NA,M,0,N,768,763,764,15.48,11.91,9.72,10.87,21.4,310,304,Antigone canadensis tabida,205,523,79.54,97.09,262,MSB,6300,13.51,765,307,NA,NA,NA,NA,2.516447368,0.121428571,3.799340549,18.4691475,2.883661435,chill,9.636676184,1.130334487,2.418390737,,,,
82,9,2020,281709,Antigone canadensis tabida,NA,M,0,N,705,704,708,15.67,11.35,9.79,10.08,17.7,295,304,Antigone canadensis tabida,240,480,92.82,109.09,240,MSB,5800,9.86,705.6666667,299.5,NA,NA,NA,NA,2.32127193,0.121666667,3.763427994,17.96701779,2.848599603,chill,10.57291667,1.222976427,2.643229167,,,,
83,18,2020,281710,Antigone canadensis canadensis,NA,M,0,Y,551,548,549,14.27,8.27,9.68,9.27,13,296,299,Antigone canadensis canadensis,150,460,58.27,67.37,202,MSB,3200,10.13,549.3333333,297.5,NA,NA,NA,NA,1.837235229,0.171666667,3.505149978,14.73612599,2.739835953,sus,8.234486815,1.113441418,1.587901701,,,,
84,20,2020,281713,Antigone canadensis tabida,NA,M,0,N,662,664,658,16.45,12.34,11.42,11.1,18.2,273,272,Antigone canadensis tabida,180,510,75.24,96.64,245,MSB,5300,10.6,661.3333333,272.5,NA,NA,NA,NA,2.431372549,0.124779874,3.72427587,17.43513401,2.820420413,chill,9.271137026,1.272401998,2.139561707,,,,
85,22,2020,281714,Antigone canadensis tabida,NA,M,0,N,685,688,681,15.14,11.47,11.42,9.48,16.9,309,304,Antigone canadensis tabida,195,535,97.64,77,260,MSB,5750,12.22,684.6666667,306.5,NA,NA,NA,NA,2.252192982,0.119072464,3.759667845,17.91523936,2.835479185,chill,8.931213018,1.287949322,2.109354529,,,,
86,25,2020,281717,Antigone canadensis canadensis,NA,M,0,N,632,634,632,13.39,8.51,10.81,9.04,15.6,293,294,Antigone canadensis canadensis,180,484,67.93,79.44,204,MSB,3900,9.71,632.6666667,293.5,NA,NA,NA,NA,2.151927438,0.162222222,3.591064607,15.74060917,2.801174953,chill,9.839965398,1.023066819,1.748087562,,,,
87,27,2020,281719,Antigone canadensis canadensis,NA,M,0,N,684,675,679,15.99,8.17,7.97,8.88,17.8,280,274,Antigone canadensis canadensis,190,460,65.53,77.51,190,MSB,3950,8.99,679.3333333,277,NA,NA,NA,NA,2.479318735,0.171983122,3.596597096,15.80759129,2.832082925,chill,11.48891967,0.898712009,1.960066163,,,,
88,28,2020,281720,Antigone canadensis canadensis,NA,M,0,Y,524,526,523,13.54,8.91,9.52,8.32,12,280,274,Antigone canadensis canadensis,160,430,54.73,64.5,180,MSB,3100,9.16,524.3333333,277,NA,NA,NA,NA,1.913625304,0.169139785,3.491361694,14.58099736,2.719607468,sus,10.0462963,1.183957348,1.760411033,,,,
89,30,2020,281722,Antigone canadensis tabida,NA,M,0,N,738,742,740,16.3,11.15,11.53,9.79,24.5,293,297,Antigone canadensis tabida,220,557,82.07,103.32,238,MSB,5600,14.04,740,295,NA,NA,NA,NA,2.491582492,0.132142857,3.748188027,17.75808003,2.86923172,chill,10.38062284,1.073776479,1.895251878,,,,
90,29,2020,281724,Antigone canadensis tabida,NA,M,0,N,657,663,659,13.33,10.54,8.38,11.02,18.1,306,304,Antigone canadensis tabida,177,534,73.16,97.62,248,MSB,5050,9.32,659.6666667,305,NA,NA,NA,NA,2.16995614,0.130627063,3.703291378,17.15656972,2.819324539,chill,8.621390479,1.218517016,1.85950848,,,,
91,38,2020,281725,Antigone canadensis tabida,NA,F,0,NA,716,717,709,14.29,10.59,10.26,9.58,16.1,311,309,Antigone canadensis tabida,195,510,76.99,98.28,223,MSB,5100,10.14,714,310,NA,NA,NA,NA,2.310679612,0.14,3.707570176,17.21300621,2.853698212,chill,10.76836454,1.050420168,2.058823529,,,,
92,66,2020,281729,Antigone canadensis tabida,NA,F,0,N,616,610,614,14.62,9.93,9.74,10.04,17.9,262,269,Antigone canadensis tabida,185,505,76.56,89,223,MSB,5000,9.59,613.3333333,265.5,NA,NA,NA,NA,2.280049566,0.122666667,3.698970004,17.09975947,2.787696568,chill,10.55722013,1.39561673,2.058621704,,,,
93,67,2020,281730,Antigone canadensis tabida,NA,F,0,N,631,634,632,13.38,10.14,9.72,9.3,19.2,298,300,Antigone canadensis tabida,200,520,83.67,98.75,235,MSB,5400,10.27,632.3333333,299,NA,NA,NA,NA,2.107777778,0.117098765,3.73239376,17.54410643,2.800946076,chill,10.26708918,1.418047918,2.096893491,,,,
94,69,2020,281732,Antigone canadensis tabida,NA,M,0,N,602,603,602,14.81,8.2,9.32,9.54,12.5,NA,NA,Antigone canadensis tabida,175,505,67.66,84.92,228,MSB,4250,9.03,602.3333333,NA,NA,NA,NA,NA,NA,0.14172549,3.62838893,16.19805901,2.779836898,sus,8.584372114,1.22999808,1.749828448,,,,
95,70,2020,281733,Antigone canadensis tabida,NA,F,0,NA,730,728,726,16.01,9.29,8.82,9.67,20.6,289,294,Antigone canadensis tabida,190,530,78.55,102.49,225,MSB,5350,12.84,728,291.5,NA,NA,NA,NA,2.476190476,0.136074766,3.728353782,17.48978996,2.862131379,chill,11.0962963,1.059937658,1.999822001,12.89,14.47,14.44,
96,71,2020,281734,Antigone canadensis tabida,NA,M,0,Y,728,724,728,14.61,10.43,10.09,10.29,16.8,306,307,Antigone canadensis tabida,190,521,81.36,96.03,253,MSB,5300,8.77,726.6666667,306.5,NA,NA,NA,NA,2.3669924,0.137106918,3.72427587,17.43513401,2.861335239,chill,8.694089894,1.053888562,2.050169282,,,,
97,75,2020,281738,Antigone canadensis tabida,NA,M,0,N,664,656,661,16.78,10.95,11.11,10.76,17.8,252,260,Antigone canadensis tabida,192,495,86.11,104.91,223,MSB,5800,12.19,660.3333333,256,NA,NA,NA,NA,2.53974359,0.113850575,3.763427994,17.96701779,2.819763221,chill,12.24637535,1.396660501,2.485460667,,,,
98,76,2020,281739,Antigone canadensis tabida,NA,F,0,NA,716,711,714,13.24,9.84,10.59,10.29,19.3,284,283,Antigone canadensis tabida,200,508,81.99,103.01,239,MSB,5000,9.19,713.6666667,283.5,NA,NA,NA,NA,2.521790342,0.142733333,3.698970004,17.09975947,2.853495413,chill,9.191015563,1.030785921,2.034379069,,,,
99,77,2020,281740,Antigone canadensis tabida,NA,M,0,NA,757,759,760,14.8,10.55,9.44,10.41,21.9,293,296,Antigone canadensis tabida,203,522,NA,NA,259,MSB,5550,11.2,758.6666667,294.5,NA,NA,NA,NA,2.563063063,0.136696697,3.744292983,17.70507053,2.880051003,chill,8.687258687,1.0124656,2.138657683,,,,
2,80,2020,281743,Antigone canadensis canadensis,NA,M,1,NA,662,667,664,13.23,9.5,8.85,8.3,16.8,286,276,Antigone canadensis canadensis,175,485,64.25,78.84,188,MSB,3850,NA,664.3333333,281,NA,NA,NA,NA,2.407004831,0.172554113,3.58546073,15.67305207,2.822386044,chill,11.43758488,0.915963021,1.718567329,,,,
100,81,2020,281744,Antigone canadensis canadensis,NA,M,0,N,602,601,604,14.84,9.13,8.73,8.32,15.2,288,284,Antigone canadensis canadensis,155,450,56.3,71.48,187,MSB,3350,10.06,602.3333333,286,NA,NA,NA,NA,2.120892019,0.179800995,3.525044807,14.96287114,2.779836898,chill,10.05890932,0.969527898,1.737037037,,,,
101,100,2020,281746,Antigone canadensis tabida,NA,F,0,N,666,664,663,15.1,10.65,10.34,9.62,21.2,279,279,Antigone canadensis tabida,180,505,81.44,102.34,228,MSB,5300,9.57,664.3333333,279,NA,NA,NA,NA,2.381123059,0.125345912,3.72427587,17.43513401,2.822386044,chill,10.70521699,1.260936106,2.182139006,,,,
102,103,2020,281747,Antigone canadensis tabida,NA,M,0,Y,574,576,572,15.32,12.65,12.75,9.98,15.2,291,295,Antigone canadensis tabida,171,548,68.83,93.01,227,MSB,5100,10.38,574,293,NA,NA,NA,NA,1.945762712,0.11254902,3.707570176,17.21300621,2.758911892,sus,10.39220633,1.625308065,1.783193031,13.74,15.26,15.93,
103,104,2020,281748,Antigone canadensis tabida,NA,M,0,N,720,722,720,16.03,10.05,11.03,10.07,21.5,306,304,Antigone canadensis tabida,262,529,88.75,112.96,242,MSB,5000,10.74,720.6666667,305,NA,NA,NA,NA,2.370614035,0.144133333,3.698970004,17.09975947,2.857734435,chill,8.964551602,1.010858654,1.876065337,,,,
3,105,2020,281749,Antigone canadensis tabida,NA,M,1,N,774,771,768,15.7,9.79,11.12,10.61,24.6,321,326,Antigone canadensis tabida,195,540,85.8,111.6,223,MSB,5650,9.79,771,323.5,NA,NA,NA,NA,2.365030675,0.136460177,3.752048448,17.81077494,2.887054378,chill,11.92965875,0.997996437,2.034465021,,,,
104,106,2020,281750,Antigone canadensis tabida,NA,M,0,Y,704,707,703,15.39,10.35,10.09,10.67,19.2,310,309,Antigone canadensis tabida,193,580,88.94,105.65,226,MSB,4600,13.27,704.6666667,309.5,NA,NA,NA,NA,2.280474649,0.153188406,3.662757832,16.63103499,2.847983728,chill,9.456496202,0.972701699,1.435790725,,,,
105,107,2020,281751,Antigone canadensis tabida,NA,F,0,Y,664,663,661,14.55,8.96,10.78,10.03,22.3,305,296,NA,NA,NA,NA,NA,NA,MSB,5500,9.83,662.6666667,300.5,NA,NA,NA,NA,2.238738739,0.120484848,3.740362689,17.65174168,2.821295125,chill,NA,1.315108964,NA,,,,
106,108,2020,281752,Antigone canadensis tabida,NA,M,0,N,675,673,677,17.55,11.59,10.63,11.8,22.3,275,278,Antigone canadensis tabida,215,523,90.11,111.22,238,MSB,5750,11.38,675,276.5,NA,NA,NA,NA,2.428057554,0.117391304,3.759667845,17.91523936,2.829303773,chill,10.65867523,1.325102881,2.207261387,,,,
107,110,2020,281754,Antigone canadensis tabida,NA,M,0,Y,668,673,671,16.16,11.47,10.55,10.75,21.4,287,288,Antigone canadensis tabida,187,544,74.49,98.27,224,MSB,5400,9.56,670.6666667,287.5,NA,NA,NA,NA,2.328703704,0.124197531,3.73239376,17.54410643,2.826506722,chill,11.30022321,1.260577687,1.915954801,,,,
4,109,2020,281755,Antigone canadensis tabida,NA,UNKOWN,1,Y,586,588,589,14.22,8.36,11.8,10.48,14.3,286,289,Antigone canadensis tabida,191,546,73.59,92.1,228,MSB,4600,11.76,587.6666667,287.5,NA,NA,NA,NA,2.033448674,0.127753623,3.662757832,16.63103499,2.769131058,chill,9.291320406,1.3985726,1.620174697,,,,
108,115,2020,281759,Antigone canadensis tabida,NA,F,0,Y,598,602,602,13.67,8.34,9.66,9.93,14.9,289,293,Antigone canadensis tabida,175,513,73.33,92.11,222,MSB,4500,9.1,600.6666667,291,NA,NA,NA,NA,2.050056883,0.133481481,3.653212514,16.50963624,2.778633532,chill,9.587289993,1.309588187,1.795424233,,,,
109,7,2020,281760,Antigone canadensis canadensis,NA,F,0,Y,552,558,555,13.46,9.64,7.9,6.89,12.3,259,253,Antigone canadensis canadensis,141,435,57.85,67.88,190,MSB,2900,9.31,555,256,NA,NA,NA,NA,2.193675889,0.19137931,3.462397998,14.26043147,2.744292983,chill,8.434903047,0.988556124,1.609195402,,,,
110,8,2020,281761,Antigone canadensis canadensis,NA,F,0,Y,502,504,506,12.57,9.11,8.79,7.83,13.5,272,276,Antigone canadensis canadensis,155,440,57.25,73.94,180,MSB,3000,8.29,504,274,NA,NA,NA,NA,1.826086957,0.168,3.477121255,14.4224957,2.702430536,sus,9.722222222,1.240079365,1.627066116,,,,
111,12,2020,281763,Antigone canadensis canadensis,NA,F,0,NA,588,584,582,13.19,7.63,6.57,6.59,14,250,245,Antigone canadensis canadensis,155,460,56.84,69.52,180,MSB,3100,NA,584.6666667,247.5,NA,NA,NA,NA,2.386394558,0.188602151,3.491361694,14.58099736,2.766908334,chill,10.0462963,0.952213478,1.538279773,,,,
112,13,2020,281764,Antigone canadensis tabida,NA,M,0,N,690,685,688,15.22,9.84,9.5,9.3,23.6,274,277,Antigone canadensis tabida,200,535,67.09,88.23,235,MSB,5400,9.33,687.6666667,275.5,NA,NA,NA,NA,2.482551143,0.127345679,3.73239376,17.54410643,2.837377973,chill,10.26708918,1.199021891,1.980959036,,,,
113,14,2020,281765,Antigone canadensis tabida,NA,M,0,N,723,719,718,19.23,11.5,8.38,9.19,29.8,278,270,Antigone canadensis tabida,200,540,85.13,110.28,245,MSB,5500,10.54,720,274,NA,NA,NA,NA,2.666666667,0.130909091,3.740362689,17.65174168,2.857332496,chill,9.620991254,1.11400463,1.980452675,,,,
114,15,2020,281766,Antigone canadensis tabida,NA,M,0,N,681,686,684,16.46,10.15,11.29,10.78,20.9,298,297,Antigone canadensis tabida,200,540,82.69,106.06,240,MSB,5500,10.99,683.6666667,297.5,NA,NA,NA,NA,2.301907969,0.12430303,3.740362689,17.65174168,2.834844406,chill,10.02604167,1.235558114,1.980452675,,,,
115,16,2020,281767,Antigone canadensis tabida,NA,M,0,Y,687,686,688,16.13,11.46,8.34,9.7,22.6,297,299,Antigone canadensis tabida,175,520,83.67,101.51,245,MSB,4900,8.4,687,298,NA,NA,NA,NA,2.297658863,0.140204082,3.69019608,16.98499252,2.836956737,chill,8.571428571,1.090113969,1.902736686,,,,
116,17,2020,281768,Antigone canadensis tabida,NA,M,0,N,746,742,748,15.6,11.38,12.52,11.53,25.8,289,292,Antigone canadensis tabida,205,555,91.07,113.8,255,MSB,6800,12.4,745.3333333,290.5,NA,NA,NA,NA,2.552511416,0.109607843,3.832508913,18.94536474,2.872350544,chill,10.98039216,1.285278145,2.317993669,,,,
117,22,2020,281770,Antigone canadensis canadensis,NA,F,0,NA,620,622,618,13.81,9.16,7.99,8.12,10.7,279,286,Antigone canadensis canadensis,NA,475,49.08,65.92,175,MSB,3050,NA,620,282.5,NA,NA,NA,NA,2.167832168,0.203278689,3.484299839,14.50217962,2.792391689,chill,10.45714286,0.833116545,1.419390582,,,,
118,25,2020,281773,Antigone canadensis tabida,NA,M,0,N,721,723,724,15.81,10.64,11.06,11.19,28.5,294,291,Antigone canadensis tabida,205,520,77.98,99.01,250,MSB,6200,10.53,722.6666667,292.5,NA,NA,NA,NA,2.483390607,0.11655914,3.792391689,18.3709055,2.858938023,chill,10.416,1.246536335,2.407544379,,,,
119,26,2020,281774,Antigone canadensis tabida,NA,F,0,N,638,633,630,14.1,9.71,11.79,10.42,16.2,267,279,Antigone canadensis tabida,195,510,72.91,96.22,250,MSB,5450,10.04,633.6666667,273,NA,NA,NA,NA,2.271206691,0.116269113,3.736396502,17.59808864,2.801860862,chill,9.156,1.425161485,2.20011534,,,,
5,27,2020,281775,Antigone canadensis tabida,NA,F,1,NA,713,708,715,15.51,9.57,10.11,9.26,24.1,299,289,Antigone canadensis tabida,195,500,70.91,87.76,230,MSB,4900,9.06,712,294,NA,NA,NA,NA,2.46366782,0.145306122,3.69019608,16.98499252,2.852479994,chill,9.725897921,1.014904999,2.058,,,,
120,31,2020,281776,Antigone canadensis canadensis,NA,M,0,N,660,655,654,14.72,8.53,7.59,7.84,13.6,280,290,Antigone canadensis canadensis,170,500,54.27,69.47,195,MSB,3550,11.37,656.3333333,285,NA,NA,NA,NA,2.263218391,0.184882629,3.550228353,15.25490302,2.817124461,chill,9.802761341,0.865304036,1.491,,,,
121,35,2020,281777,Antigone canadensis canadensis,NA,M,0,N,645,643,644,13.94,8.28,8.8,8.5,11.8,287,291,Antigone canadensis canadensis,165,480,56.01,70.6,195,MSB,3500,NA,644,289,NA,NA,NA,NA,2.213058419,0.184,3.544068044,15.18294486,2.808885867,chill,9.66469428,0.88610586,1.595052083,,,,
122,36,2020,281778,Antigone canadensis canadensis,NA,F,0,N,544,541,542,15.03,8.71,9.36,7.7,10.2,278,275,Antigone canadensis canadensis,155,425,52.12,66.66,175,MSB,3050,9.94,542.3333333,276.5,NA,NA,NA,NA,1.972121212,0.177814208,3.484299839,14.50217962,2.734266298,chill,10.45714286,1.088821134,1.773010381,,,,
123,1,2020,281779,Antigone canadensis tabida,NA,F,0,NA,722,725,723,15.72,9.12,11.22,10.11,26,285,284,Antigone canadensis tabida,195,540,94.42,112.38,238,MSB,5700,9.67,723.3333333,284.5,NA,NA,NA,NA,2.546948357,0.126900585,3.755874856,17.86315988,2.859338479,chill,10.5659911,1.143897726,2.052469136,,,,
