,NMDGF,sample_year,NK,taxon_name,intermediate,sex,uncertain_sex,bursa,length_mm_1,length_mm_2,length_mm_3,anterior_width,poserior_width,width_2nd_curve,width_straight_mdpt,mass_trachea+syrinx,segment_count1,segment_count2,taxon.name,tail,wing.chord,anterior.culmen,posterior.culmen,tarsus,data.origin,mass,width_1st_curve,mean_trachea_length,segment_count_mean,County,Date,Age,trachea.diameter,segment_width,prop_trachea,log_mass,mass13,log_mtl,sus,BMI.tars,BMI.trach,BMI.wing,glottis_opening_length,larynx_width,brochus_width,syrnix_length_middle
260,NA,NA,42530,Antigone canadensis tabida,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186,474,82.7,99.4,232,NMDGF,5165,NA,614,NA,3,NA,Adult,10.2,NA,0.118877057,3.713070326,17.28582487,2.788168371,chill,10.07589551,1.438543115,2.413809219,,,,
264,NA,NA,42763,Antigone canadensis canadensis,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,435,63.3,73.8,187,NMDGF,3393,NA,635,NA,3,NA,Immature,10.2,NA,0.187150015,3.53058386,15.0266194,2.802773725,chill,10.18802368,0.883538967,1.882758621,,,,
262,NA,NA,42781,Antigone canadensis canadensis,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157,442,56.2,66.3,186,NMDGF,2857,NA,492,NA,3,NA,Immature,10.5,NA,0.17220861,3.45591024,14.18959762,2.691965103,NA,8.671089143,1.239279695,1.535518315,,,,
261,NA,NA,42820,Antigone canadensis tabida,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209,535,89.1,104.1,236,NMDGF,6086,NA,568,NA,2,NA,Adult,8.9,NA,0.093328952,3.784331948,18.25761239,2.754348336,sus,11.4735349,1.98072679,2.232614202,,,,
241,NA,NA,42991,Antigone canadensis tabida,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198,511,86.2,101.3,249,NMDGF,5155,NA,695,NA,3,NA,Adult,12.5,NA,0.134820563,3.71222867,17.27466192,2.841984805,chill,8.730101127,1.120594172,2.07288958,,,,
215,NA,NA,43175,Antigone canadensis canadensis,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162,451,57.4,68,175,NMDGF,3169,NA,601,NA,3,NA,Adult,9.3,NA,0.189649732,3.500922239,14.68838609,2.778874472,chill,10.86514286,0.92121838,1.635906411,,,,
221,NA,NA,43185,Antigone canadensis canadensis,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174,456,66.4,75.7,191,NMDGF,3480,NA,567,NA,3,NA,Adult,9.2,NA,0.162931034,3.541579244,15.1539697,2.753583059,chill,10.0161728,1.136586322,1.757271468,,,,
240,NA,NA,43320,Antigone canadensis tabida,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195,522,82.8,99,245,NMDGF,5770,NA,802,NA,3,NA,Adult,11.2,NA,0.138994801,3.761175813,17.93598661,2.904174368,chill,10.09329446,0.941925112,2.223433303,,,,
226,NA,NA,43322,Antigone canadensis canadensis,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164,433,60.5,72.1,187,NMDGF,3106,NA,570,NA,3,NA,Adult,8.9,NA,0.183515776,3.492201451,14.59039839,2.755874856,chill,9.326260402,1.00378578,1.739462048,,,,
266,NA,NA,43459,Antigone canadensis canadensis,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,454,62.1,72.9,212,NMDGF,3498,NA,634,NA,3,NA,Immature,9.7,NA,0.181246427,3.543819805,15.18005232,2.802089258,chill,8.172169811,0.91375673,1.781957733,,,,
252,NA,NA,43569,Antigone canadensis tabida,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210,531,80.6,95.7,246,NMDGF,5691,NA,784,NA,3,NA,Adult,12,NA,0.137761378,3.755188586,17.85375326,2.894316063,chill,9.874330756,0.972177934,2.119282454,,,,
225,NA,NA,43899,Antigone canadensis canadensis,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159,450,56.4,67,177,NMDGF,3262,NA,392,NA,3,NA,Adult,9.1,NA,0.120171674,3.513483957,14.8306887,2.593286067,NA,10.93268218,2.228954082,1.691407407,,,,
230,NA,NA,44474,Antigone canadensis canadensis,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173,476,60,70.7,204,NMDGF,4237,NA,653,NA,3,NA,Adult,9.4,NA,0.15411848,3.627058464,16.18152647,2.814913181,sus,10.69023933,1.043329292,1.963513347,,,,
248,NA,NA,44586,Antigone canadensis tabida,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,546,76.8,92.7,241,NMDGF,6127,NA,779,NA,3,NA,Adult,11,NA,0.127142158,3.78724788,18.29851979,2.891537458,chill,11.07651383,1.060137664,2.158002254,,,,
237,NA,NA,44665,Antigone canadensis tabida,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195,496,78.8,94.6,229,NMDGF,5064,NA,666,NA,2,NA,Adult,10.5,NA,0.131516588,3.704493697,17.17240934,2.823474229,chill,10.13939475,1.198766334,2.161322841,,,,
223,NA,NA,44687,Antigone canadensis canadensis,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176,NA,59.7,69.1,189,NMDGF,3222,NA,614,NA,3,NA,Adult,9.3,NA,0.190564867,3.508125536,14.76981919,2.788168371,chill,9.470899471,0.897383527,NA,,,,
227,NA,NA,44712,Antigone canadensis canadensis,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168,457,58,68.7,172,NMDGF,3172,NA,580,NA,3,NA,Adult,9,NA,0.182849937,3.501333179,14.69301965,2.763427994,chill,11.25811249,0.990071344,1.594740698,,,,
224,NA,NA,44723,Antigone canadensis canadensis,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159,437,55.5,65.5,177,NMDGF,2981,NA,500,NA,3,NA,Adult,8.9,NA,0.16772895,3.474361976,14.39198371,2.698970004,NA,9.990902997,1.25202,1.639035655,,,,
249,NA,NA,45166,Antigone canadensis tabida,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,514,81.2,93.8,235,NMDGF,5285,NA,645,NA,3,NA,Adult,12,NA,0.122043519,3.723044992,17.41867023,2.809559715,chill,10.04843821,1.333874166,2.100429227,,,,
247,NA,NA,45399,Antigone canadensis tabida,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197,516,82.7,98.6,239,NMDGF,5147,NA,686,NA,3,NA,Adult,12,NA,0.133281523,3.711554168,17.26572116,2.836324116,chill,9.461231421,1.148405426,2.029757076,,,,
